標題/社區,地址,價格,坪數,房型,建物類型,建物類型_新
聯園璞玉/聯園樸麗,淡水區-新市一路一段99巷,8500.0,10.6,獨立套房,,其他
5F/5F,淡水區-新民街180巷7弄,22500.0,25.0,未知,,其他
W丰上,淡水區-中山北路三段31巷,16000.0,12.7,獨立套房,,其他
關渡山水,淡水區-民權路,6000.0,5.0,分租套房,,其他
2F/5F,淡水區-新民街53巷,52000.0,64.4,未知,,其他
水紀元,淡水區-民權路,22000.0,14.0,未知,,其他
漫活時代1,淡水區-竿蓁街,11000.0,9.7,笑傲江河商務套房有大陽台免仲介費可租補,,其他
笑傲江河,淡水區-北新路169巷,17000.0,22.0,未知,,其他
好旺角海景,淡水區-新民街120巷,18000.0,26.0,未知,,其他
笑傲江河,淡水區-北新路169巷87號,28000.0,37.3,未知,,其他
台北灣-江南大宅,淡水區-沙崙路一段,11000.0,5.1,未知,,其他
1F/5F,淡水區-學府路205巷1弄,30000.0,53.9,未知,,其他
宏盛水悅,淡水區-新市三路一段,7500.0,4.0,分租套房,,其他
1F/4F,淡水區-自強路337巷47號,6500.0,6.0,分租套房,,其他
4F/6F,淡水區-水源街二段,24000.0,34.6,未知,,其他
宏盛水悅,淡水區-新市三路一段,21000.0,22.9,未知,✨鄰近竹圍捷運2樓公寓大使用空間大✨,公寓
2F/4F,淡水區-民權一街17巷,15000.0,12.0,未知,,其他
7F/7F,淡水區-淡海路189巷,33000.0,46.7,未知,,其他
大旭地,淡水區-北新路一段,25000.0,35.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,近關渡竹圍捷運馬偕醫院旁別墅社區套房,透天厝
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,8900.0,8.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
淡水幸福城,淡水區-學府路,19960.0,20.0,近關渡竹圍捷運馬偕醫院旁別墅社區套房,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,20800.0,28.0,未知,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙,電梯大樓
富麗欣,淡水區-濱海路二段,3000.0,6.0,未知,,其他
海洋都心3,淡水區-新市五路三段,29000.0,31.0,未知,,其他
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,13600.0,18.0,未知,,其他
尚海,淡水區-淡金路,72000.0,57.0,未知,,其他
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,6000.0,5.0,未知,,其他
鄉林山海匯,淡水區-八勢路,18000.0,35.0,未知,,其他
淡大溫哥華,淡水區-水源街二段,32000.0,46.5,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,15300.0,18.0,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,其他
宏盛水悅,淡水區-新市三路,13900.0,17.0,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,其他
海洋都心No.3 Ocean city,淡水區-新市三路二段,20000.0,21.5,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,台北GOGO社區近竹圍捷運站車位出租,其他
海洋都心3,淡水區-新市五路三段,1900.0,12.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
海天DEFG棟,淡水區-八勢一街,90000.0,80.0,未知,台北GOGO社區近竹圍捷運站車位出租,其他
台北GOGO,淡水區-民權路,25000.0,25.0,未知,,其他
大旭地,淡水區-北新路一段,7000.0,7.0,未知,,其他
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,7000.0,7.0,未知,,其他
依現場社區名稱,淡水區-淡海路189巷,6000.0,6.0,分租套房,,其他
4F/5F,淡水區-新生街108巷,7000.0,5.5,分租套房,,其他
2F/6F,淡水區-學府路205巷1弄,32000.0,42.7,未知,,其他
水天靚2,淡水區-沙崙路,25000.0,22.7,未知,,其他
宏盛海都 2期,淡水區-新市三路二段,26000.0,17.5,未知,,其他
新品苑,淡水區-新市三路一段,26000.0,32.8,未知,,其他
富庭峰築家,淡水區-沙崙路201巷,28000.0,31.9,未知,,其他
關渡大國二期,淡水區-民族路31巷,29500.0,25.7,未知,,其他
合康嘉年華,淡水區-新市一路一段,16500.0,21.6,未知,,其他
巧克力花園,淡水區-水源街二段177巷,15000.0,16.1,獨立套房,,其他
清淞,淡水區-淡金路,11000.0,8.0,飯店式全新獨立衛浴套房、靠近淡江大學,,其他
5F/5F,淡水區-新民街63巷2號,9500.0,6.5,獨立套房,,其他
3F/4F,淡水區-北投子路87號,5700.0,6.0,獨立套房,,其他
5F/5F,淡水區-水源街二段92巷,22500.0,15.9,未知,,其他
南加州,淡水區-民權路,13000.0,10.0,獨立套房,台灣朗居浩庭【台北|萬通國際社區】租金含管含稅含2車位,其他
摩天31,淡水區-中山北路一段,85000.0,67.4,未知,台灣朗居浩庭【台北|萬通國際社區】租金含管含稅含2車位,其他
萬通國際/ 陽明悅活,淡水區-興福寮88巷,21000.0,21.5,未知,,其他
戀戀山海,淡水區-沙崙路,22000.0,28.1,未知,,其他
宏盛海都 2期,淡水區-新市三路二段,24000.0,27.0,🐻MVP社宅∥可租補∥近淡大機能佳套房,,其他
