地址,平均價格,平均坪數,物件數量
淡水區-中正東路一段,14100.0,16.82,5
淡水區-仁愛街999號,14000.0,10.0,1
淡水區-英專路105巷,14000.0,11.0,1
淡水區-濱海路一段,13916.666666666666,21.349999999999998,6
淡水區-自強路337巷47號,13750.0,20.3,2
淡水區-新民街180巷,13542.857142857143,13.114285714285714,7
淡水區-沙崙路151巷12弄5號,13500.0,7.0,1
淡水區-民權路177巷,13150.0,10.45,2
淡水區-北新路182巷41弄,13150.0,12.0,2
淡水區-英專路101巷5弄,13000.0,12.0,1
淡水區-民權一街,13000.0,12.733333333333334,3
淡水區-中山路129巷,13000.0,7.0,1
淡水區-中山北路三段49號,13000.0,10.0,1
淡水區-北新路,12504.0,11.86,5
淡水區-新民街,12335.714285714286,12.549999999999999,14
淡水區-大同路120巷,12000.0,20.05,2
淡水區-北新路136巷5弄,12000.0,21.0,1
淡水區-新民街一段,11749.75,10.0,4
淡水區-鄧公路1弄,11450.0,12.5,2
淡水區-紅樹林路,11400.0,10.0,3
淡水區-英專路65巷,11000.0,6.0,1
淡水區-竿蓁街,11000.0,9.7,1
淡水區-學府路89號,11000.0,6.8,1
淡水區-學府路172巷,10900.0,8.72,5
淡水區-中山路72巷6弄,10000.0,6.0,1
淡水區-中正東路一段3巷14弄,10000.0,7.666666666666667,3
淡水區-新民街180巷3號,9800.0,9.0,1
淡水區-義山路一段401巷78號,9500.0,11.6,1
淡水區-新民街63巷2號,9500.0,6.5,1
淡水區-新民街162巷7號,9333.333333333334,6.333333333333333,3
淡水區-民族路29巷1弄,9100.0,9.8,2
淡水區-中正東路二段107巷,9000.0,5.0,1
淡水區-新民街71號,9000.0,12.0,1
淡水區-仁愛街2巷,8900.0,8.0,1
淡水區-淡海路184巷,8800.0,7.0,1
淡水區-新民街3巷,8200.0,12.0,1
淡水區-三民街,8000.0,6.0,1
淡水區-中山北路三段16巷,7500.0,34.6,1
淡水區-新市五路二段,7500.0,6.0,1
🏡淡水區南勢埔47巷｜獨立套房招租｜可申請租補🏡,7500.0,8.5,2
淡水區-興仁路,7500.0,6.0,1
淡水區-新民街152巷6弄8號,7250.0,6.65,2
淡水區-新生街108巷,7000.0,5.5,1
淡水區-新民街63巷,7000.0,5.0,1
新北市淡水區真理街❤️❤️❤️,7000.0,12.0,1
淡水區-新市五路三段238號,7000.0,5.0,2
淡水區-小坪頂66巷,6800.0,56.4,1
淡水區-民族路35巷,6500.0,6.0,1
淡水區-新民街190號,6500.0,7.0,1
淡水區-八勢二街,6500.0,26.0,1
淡水區-北新路182巷5弄,6233.333333333333,5.533333333333334,3
新北市淡水區中正東路8-7號~套房出租~,6000.0,5.0,1
淡水區-沙崙路二段711號,6000.0,24.0,1
淡水區-新市二路二段,6000.0,4.0,1
淡水區-北投子路87號,5700.0,6.0,1
淡水區-自強路201巷63號,5500.0,12.0,1
淡水區-新市五路三段158號,5500.0,6.0,1
淡水區-中山北路三段41號,5500.0,6.0,1
淡水區-鄧公路32巷,5500.0,5.0,1
淡水區-八勢路22巷,5500.0,25.0,1
淡水區-北新路192號,5500.0,4.0,1
淡水區-平遠街1號,5500.0,6.0,1
淡水區-新民街226巷16號,5500.0,4.0,1
淡水區-新生街15號,5500.0,5.0,1
淡水區-水源街二段216號,5500.0,6.5,2
淡水區-新生街64號,5000.0,4.2,1
淡水區-中山北路一段259號,5000.0,4.0,1
淡水區-竹林路,4700.0,6.0,1
淡水區-北新路182巷3弄,4500.0,5.0,1
淡水區-淡海路206巷,4500.0,6.0,1
淡水區-南勢埔47巷,4050.0,8.5,2
淡水區-新生街90巷,2800.0,5.0,1
🚗🔥震撼開幕！淡水區沙倫路最強CP值車位開搶！,1300.0,7.0,1
淡水區-中正東路二段105巷,1000.0,4.0,1
