標題/社區,地址,價格,坪數,房型,樓層,建物類型
海洋都心No.3 Ocean city,淡水區-新市三路二段,8900,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
尚海,淡水區-淡金路,13600,18,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,台北GOGO社區近竹圍捷運站車位出租
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,1900,12,,,台北GOGO社區近竹圍捷運站車位出租
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,72000,57,,,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路,3000,6,,,
鄉林山海匯,淡水區-八勢路,90000,80,,,
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,18000,35,,,
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,6000,5,,,
大旭地,淡水區-北新路一段,19960,20,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
淡大溫哥華,淡水區-水源街二段,20800,28,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
富麗欣,淡水區-濱海路二段,20000,21.5,,,
海洋都心3,淡水區-新市五路三段,32000,46.5,,宏盛水悅/高樓層三房/平面車位/前後陽台,
海天DEFG棟,淡水區-八勢一街,32000,46.5,,宏盛水悅/高樓層三房/平面車位/前後陽台,
宏盛水悅,淡水區-新市三路,32000,46.5,分租套房,,
5F/5F,淡水區-學府路205巷,10000,8,獨立套房,,
淡大金雞母二期A,淡水區-北新路184巷,26000,37,,,
日月星辰,淡水區-濱海路一段306巷9弄,20000,15.8,,,
宏盛海都,淡水區-新市三路二段,9000,7,分租套房,,
2F/4F,淡水區-民族路,19900,38,"步行2分鍾到捷運站精心設計優美套房,",,
Park 99,淡水區-義山路一段401巷,9000,8,獨立套房,,
5F/5F,淡水區-平遠街1號,5500,6,獨立套房,,
2F/5F,淡水區-英專路,18000,28.1,,,
海洋都心,淡水區-新市五路三段238號,9000,5,分租套房,,
1F/5F,淡水區-學府路172巷,5500,6,雅房,,
2F/2F,淡水區-自強路,20000,23.4,,,
台北灣 銀河,淡水區-新市一路一段,20000,28,,,
江南大宅,淡水區-沙崙路,7000,18,獨立套房,紅樹林捷運/台北雪梨16樓海景精品宅18坪/含管/可租補,
4F/5F,淡水區-學府路136巷40弄,21000,18,新北關渡自強路套房出租-近北藝大,紅樹林捷運/台北雪梨16樓海景精品宅18坪/含管/可租補,
台北雪梨,淡水區-中正東路一段,7500,4,分租套房,,
1F/4F,淡水區-自強路337巷47號,21000,34.6,,,
海洋都心2,淡水區-新市三路二段,7000,8,淡大北新路【三荷院】優質電梯獨立套房,,
2F/5F,淡水區-新民街53巷,9500,11,獨立套房,,
三荷院,淡水區-北新路192號,5500,4,分租套房,,
2F/3F,淡水區-水源街二段,8600,8,淡大圖側2分半高樓層無敵山海景和室套房！,,
2F/4F,淡水區-新民街,5500,5.8,分租套房,,
5F/5F,淡水區-水源街二段92巷,24000,17.5,,,
新品苑,淡水區-新市三路一段,9000,7,分租套房,,
2F/4F,淡水區-民族路,28000,22.3,,,
甜水郡名人湯,淡水區-濱海路一段306巷,59800,90,,,
水立方,淡水區-淡金路,25000,18.8,,,
台北灣 銀河,淡水區-新市一路一段,28000,23,獨立套房,,
麗陽,淡水區-鄧公路,6500,6,👑近真理獨立洗衣機全新變頻冷氣溫馨套房可以租❗❗❗,,
4F/5F,淡水區-北新路,6000,6,分租套房,,
4F/5F,淡水區-新民街180巷,6000,,,,熟悉社區：新巨蛋、金世紀錄大樓、馥華時尚會館、漢江春曉、巨蛋東京花園廣場、翔譽天心大樓、新巨蛋、鑑築
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,25000,35,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
海洋都心3,淡水區-新市五路三段,19960,20,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
淡水幸福城,淡水區-學府路,8900,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
富麗欣,淡水區-濱海路二段,25000,25,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
大旭地,淡水區-北新路一段,13600,18,,,
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,20000,21.5,,,
海天DEFG棟,淡水區-八勢一街,20800,28,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,
海洋都心No.3 Ocean city,淡水區-新市三路二段,90000,80,,,
海洋都心3,淡水區-新市五路三段,6000,5,,,
淡大溫哥華,淡水區-水源街二段,32000,46.5,,宏盛水悅/高樓層三房/平面車位/前後陽台,
鄉林山海匯,淡水區-八勢路,1900,12,,宏盛水悅/高樓層三房/平面車位/前後陽台,台北GOGO社區近竹圍捷運站車位出租
宏盛水悅,淡水區-新市三路,29000,31,,,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路,3000,7,,,
